region,value
36017,34195
36019,22258
36021,19111
36023,15487
36025,116324
36027,483761
36029,15182
36031,18749
36033,17743
36035,24082
36037,15376
36039,1941
36041,17459
36043,58994
36045,699214
36047,6843
36049,20637
36051,22609
36053,399639
36055,19247
36057,650961
36059,2511636
36061,75957
36063,108240
36065,254968
36067,54910
36069,151379
36071,13370
36073,35119
36075,25227
36077,26928
36079,673050
36081,54673
36083,121067
36085,122787
36087,37319
36089,89720
36091,65656
36093,8837
36095,5100
36097,12444
36099,38668
36101,677161
36103,26111
36105,13386
36107,56371
36109,63122
36111,39872
36113,16392
36115,29581
36117,447474
36119,14334
36121,7606
36123,62637
37001,9587
37003,3696
37005,8035
37007,7707
37009,7331
37011,16783
37013,6932
37015,14060
37017,32310
37019,132346
37021,31481
37023,73016
37025,25088
37027,1648
37029,24785
37031,3395
37033,88155
37035,15619
37037,8525
37039,5092
37041,2088
37043,36080
37045,16897
37047,49788
37049,173796
37051,7516
37053,20528
37055,45805
37057,12620
37059,20651
37061,207279
37063,17654
37065,195833
37067,12704
37069,74539
37071,1709
37073,2139
37075,21332
37077,4608
37079,297402
37081,16975
37083,26382
37085,18077
37087,37918
37089,9739
37091,8986
37093,2390
37095,74035
37097,17697
37099,49907
37101,1812
37103,26835
37105,29796
37107,23057
37109,17282
37111,11878
37113,4177
37115,8070
37117,688217
37119,5397
37121,10058
37123,35732
37125,43333
37127,114552
37129,5517
37131,94895
37133,76598
37135,3582
37137,18192
37139,11770
37141,2279
37143,10894
37145,81642
37147,5452
37149,47350
37151,14901
37153,42200
37155,28036
37157,50619
37159,19609
37161,20222
37163,12614
37165,20123
37167,8108
37169,30558
37171,6906
37173,9387
37175,1268
37177,64071
37179,15876
37181,555888
37183,3706
37185,3395
37187,24866
37189,49159
37191,22960
37193,39876
37195,10524
37197,4096
37199,1056
38001,5419
38003,2360
38005,581
38007,2884
38009,1825
38011,876
38013,61924
38015,122814
38017,1688
38019,2195
38021,1138
38023,3061
38025,861
38027,1059
38029,1788
38031,764
38033,46505
38035,711
38037,1031
38039,953
38041,747
38043,1560
38045,751
38047,1453
38049,1173
38051,11721
38053,3854
38055,5455
38057,12429
38059,7109
38061,1145
38063,969
38065,3874
38067,1935
38069,6263
38071,2287
38073,898
38075,8217
38077,4930
38079,3029
38081,307
38083,1736
38085,212
38087,23386
38089,754
38091,11885
38093,804
38095,3730
38097,5229
38099,43004
38101,1892
38103,37388
38105,6345
39001,52960
39003,19753
39005,32293
39007,24981
39009,21903
39011,25451
39013,8734
39015,157998
39017,7417
39019,11512
39021,51658
39023,62164
39025,17246
39027,32849
39029,11889
39031,14089
39033,760221
39035,19188
39037,16533
39039,89792
39041,38496
39043,45254
39045,12010
39047,785849
39049,19128
39051,11623
39053,36745
39055,80339
39057,16553
39059,539785
39061,46810
39063,9028
39065,4172
39067,11515
